Rating,Jersey Number,Team,Position,Height,Weight,Salary,Country,Draft Year,Draft Round,Draft Pick,Age
97,23,Los Angeles Lakers,F,206,113.4,37436858,USA,2003,1,1,37
97,2,Los Angeles Clippers,F,201,102.1,32742000,USA,2011,1,15,30
96,34,Milwaukee Bucks,F-G,211,109.8,25842697,Greece,2013,1,15,27
96,7,Brooklyn Nets,F,208,104.3,37199000,USA,2007,1,2,33
96,13,Houston Rockets,G,196,99.8,38199000,USA,2009,1,3,32
95,30,Golden State Warriors,G,191,83.9,40231758,USA,2009,1,7,33
94,3,Los Angeles Lakers,F-C,208,100.7,27093019,USA,2012,1,1,28
93,13,Los Angeles Clippers,F,203,95.3,33005556,USA,2010,1,10,31
92,0,Portland Trail Blazers,G,188,88.5,29802321,USA,2012,1,6,31
91,21,Philadelphia 76ers,C,213,113.4,27504630,Cameroon,2014,1,3,27
91,11,Brooklyn Nets,G,188,81.6,31742000,Australia,2011,1,1,29
90,15,Denver Nuggets,C,213,114.8,27504630,Serbia,2014,2,41,26
90,0,Houston Rockets,G,191,86.2,38506482,USA,2008,1,4,33
89,11,Golden State Warriors,G,198,93,32742000,USA,2011,1,11,31
89,32,Minnesota Timberwolves,F-C,211,112.5,27285000,USA,2015,1,1,26
88,22,Miami Heat,G,201,99.8,32742000,USA,2011,1,30,32
88,27,Utah Jazz,C,216,108,25258427,France,2013,1,27,29
88,23,Detroit Pistons,F,206,114.3,34449964,USA,2009,1,1,32
88,45,Utah Jazz,G,185,95.7,3635760,USA,2017,1,13,25
88,8,Boston Celtics,G,183,78,32742000,USA,2011,1,9,31
87,77,Dallas Mavericks,G-F,201,103,7683360,Slovenia,2018,1,3,22
87,12,San Antonio Spurs,F-C,211,111.6,26000000,USA,2006,1,2,36
87,3,Washington Wizards,G,191,93.9,27093018,USA,2012,1,3,28
87,10,Utah Jazz,G,185,83.9,32511623,USA,2007,1,4,34
87,10,San Antonio Spurs,G-F,198,99.8,27739975,USA,2009,1,9,32
87,3,Portland Trail Blazers,G,191,89.4,27556959,USA,2013,1,10,30
87,4,Indiana Pacers,G,193,96.6,21000000,USA,2013,1,2,29
87,6,Dallas Mavericks,F-C,221,99.8,27285000,Latvia,2015,1,4,26
87,0,Minnesota Timberwolves,G,193,87.5,27285000,USA,2015,1,2,25
87,43,Toronto Raptors,F,206,103,2351838,Cameroon,2016,1,27,27
87,25,Philadelphia 76ers,F,208,108.9,8113929,Australia,2016,1,1,25
86,5,Sacramento Kings,G,191,77.6,6392760,USA,2017,1,5,24
86,1,Phoenix Suns,G,196,93.4,27285000,USA,2015,1,13,25
86,0,,C,208,122.5,3500000,USA,2010,1,5,31
86,0,Cleveland Cavaliers,C,208,122.5,27093018,USA,2012,1,9,28
86,23,Golden State Warriors,F,198,104.3,18539130,USA,2012,2,35,31
86,11,New Orleans Pelicans,G,191,81.6,26131111,USA,2009,1,17,31
86,9,Orlando Magic,C,211,108.9,28000000,Montenegro,2011,1,16,31
86,2,Washington Wizards,G,193,88.5,38199000,USA,2010,1,1,31
85,0,Boston Celtics,F,203,92.5,7830000,USA,2017,1,3,23
85,11,Atlanta Hawks,G,185,81.6,6273000,USA,2018,1,5,23
85,6,Milwaukee Bucks,G,185,88.5,15625000,USA,2010,1,18,32
85,15,Atlanta Hawks,C,208,95.7,16896552,Switzerland,2014,1,25,27
85,12,Philadelphia 76ers,F,203,102.5,32742000,USA,2011,1,19,29
85,42,Philadelphia 76ers,C-F,206,111.6,28000000,Dominican Republic,2007,1,3,35
85,8,Chicago Bulls,G,198,82.1,19500000,USA,2014,1,13,26
85,7,Toronto Raptors,G,183,93,33296296,USA,2006,1,24,35
85,22,Milwaukee Bucks,F,201,98.4,30603448,USA,2012,2,39,30
85,3,Oklahoma City Thunder,G,185,79.4,38506482,USA,2005,1,4,36
84,20,Atlanta Hawks,F,206,102.1,2686560,USA,2017,1,19,24
84,24,Sacramento Kings,G,193,96.2,4861207,The Bahamas,2016,1,6,28
84,0,Los Angeles Lakers,F,203,100.2,1974600,USA,2017,1,27,26
84,27,Denver Nuggets,G,193,91.2,4444746,Canada,2016,1,7,24
84,23,Los Angeles Clippers,G,185,79.4,8000000,USA,2005,2,45,35
